gene1	gene2	SP
YQE_07652	YQE_06954	1
YQE_07652	YQE_05662	1
YQE_07652	YQE_04648	1
YQE_07652	YQE_11555	1
YQE_07652	YQE_12119	1
YQE_00037	YQE_01911	1
YQE_00037	YQE_03562	1
YQE_06954	YQE_05662	1
YQE_06954	YQE_04648	1
YQE_06954	YQE_11555	1
YQE_06954	YQE_12119	1
YQE_06973	YQE_05758	1
YQE_04640	YQE_04641	1
YQE_04377	YQE_05666	1
YQE_01911	YQE_03562	1
YQE_12518	YQE_12932	1
YQE_12518	YQE_01985	1
YQE_12518	YQE_08467	1
YQE_05616	YQE_05618	1
YQE_05616	YQE_05619	1
YQE_05618	YQE_05619	1
YQE_05662	YQE_04648	1
YQE_05662	YQE_11555	1
YQE_05662	YQE_12119	1
YQE_04648	YQE_11555	1
YQE_04648	YQE_12119	1
YQE_12932	YQE_01985	1
YQE_12932	YQE_08467	1
YQE_11555	YQE_12119	1
YQE_01985	YQE_08467	1
YQE_01227	YQE_02759	0.997
YQE_01078	YQE_00207	0.997
YQE_00457	YQE_00223	0.997
YQE_01140	YQE_09656	0.997
YQE_01079	YQE_05066	0.997
YQE_00477	YQE_03004	0.997
YQE_08818	YQE_00044	0.997
YQE_08818	YQE_00901	0.997
YQE_08830	YQE_02328	0.997
YQE_00205	YQE_00893	0.997
YQE_01487	YQE_05175	0.997
YQE_01487	YQE_00223	0.997
YQE_00132	YQE_00843	0.997
YQE_04906	YQE_02729	0.997
YQE_04230	YQE_08538	0.997
YQE_00292	YQE_04068	0.997
YQE_00448	YQE_03004	0.997
YQE_08926	YQE_10576	0.997
YQE_01196	YQE_04711	0.997
YQE_04711	YQE_04713	0.997
YQE_03210	YQE_00112	0.997
YQE_00223	YQE_00343	0.997
YQE_04644	YQE_05068	0.997
YQE_00394	YQE_04495	0.997
YQE_08161	YQE_08162	0.997
YQE_00565	YQE_02610	0.996
YQE_00565	YQE_06973	0.996
YQE_00565	YQE_05758	0.996
YQE_00138	YQE_02610	0.996
YQE_00138	YQE_06973	0.996
YQE_00138	YQE_05758	0.996
YQE_00909	YQE_06315	0.996
YQE_00909	YQE_08340	0.996
YQE_00909	YQE_00863	0.996
YQE_02608	YQE_00864	0.996
YQE_02608	YQE_04377	0.996
YQE_02608	YQE_05666	0.996
YQE_12778	YQE_05871	0.996
YQE_02610	YQE_01166	0.996
YQE_02610	YQE_00936	0.996
YQE_00884	YQE_11733	0.996
YQE_00884	YQE_12480	0.996
YQE_11700	YQE_09637	0.996
YQE_11700	YQE_02258	0.996
YQE_11700	YQE_05444	0.996
YQE_11733	YQE_06313	0.996
YQE_11733	YQE_01935	0.996
YQE_11733	YQE_11924	0.996
YQE_11733	YQE_05845	0.996
YQE_11733	YQE_07051	0.996
YQE_06313	YQE_12480	0.996
YQE_06315	YQE_08219	0.996
YQE_06344	YQE_06351	0.996
YQE_06344	YQE_01644	0.996
YQE_06344	YQE_02289	0.996
YQE_00629	YQE_05871	0.996
YQE_12375	YQE_05871	0.996
YQE_01166	YQE_06973	0.996
YQE_01166	YQE_05758	0.996
YQE_08219	YQE_08340	0.996
YQE_09637	YQE_08338	0.996
YQE_09637	YQE_01572	0.996
YQE_09637	YQE_00037	0.996
YQE_09637	YQE_01911	0.996
YQE_09637	YQE_03562	0.996
YQE_08338	YQE_02258	0.996
YQE_08338	YQE_05444	0.996
YQE_01935	YQE_12480	0.996
YQE_05718	YQE_02794	0.996
YQE_01572	YQE_02258	0.996
YQE_01572	YQE_05444	0.996
